device,vkey,scancode,e0,e1,t1_ns,keyname
131139,13,28,0,0,801102109307,"EINGABE"
293540923,70,33,0,0,816656373007,"F"
293540923,72,35,0,0,816754114507,"H"
293540923,66,48,0,0,816856096007,"B"
293540923,85,22,0,0,816951984807,"U"
293540923,82,19,0,0,817056255507,"R"
293540923,71,34,0,0,817151967007,"G"
293540923,69,18,0,0,817257171507,"E"
293540923,78,49,0,0,817352480807,"N"
293540923,76,38,0,0,817448174307,"L"
293540923,65,30,0,0,817551967707,"A"
293540923,78,49,0,0,817648327407,"N"
293540923,68,32,0,0,817752352807,"D"
293540923,70,33,0,0,817848181407,"F"
293540923,72,35,0,0,817951990607,"H"
293540923,66,48,0,0,818048319807,"B"
293540923,85,22,0,0,818152309907,"U"
293540923,82,19,0,0,818247961607,"R"
293540923,71,34,0,0,818352101407,"G"
293540923,69,18,0,0,818457067507,"E"
293540923,78,49,0,0,818551893407,"N"
293540923,76,38,0,0,818647973607,"L"
293540923,65,30,0,0,818752003107,"A"
293540923,78,49,0,0,818848121207,"N"
293540923,68,32,0,0,818952232607,"D"
293540923,70,33,0,0,819048375707,"F"
293540923,72,35,0,0,819152401507,"H"
293540923,66,48,0,0,819248563607,"B"
293540923,85,22,0,0,819352114907,"U"
293540923,82,19,0,0,819448547207,"R"
293540923,71,34,0,0,819552353307,"G"
293540923,69,18,0,0,819656373207,"E"
293540923,78,49,0,0,819754058307,"N"
293540923,76,38,0,0,819856340607,"L"
293540923,65,30,0,0,819952150507,"A"
293540923,78,49,0,0,820056194607,"N"
293540923,68,32,0,0,820152131107,"D"
293540923,70,33,0,0,820256239407,"F"
293540923,72,35,0,0,820351995607,"H"
293540923,66,48,0,0,820456505207,"B"
293540923,85,22,0,0,820552329507,"U"
293540923,82,19,0,0,820656127907,"R"
293540923,71,34,0,0,820752453207,"G"
293540923,69,18,0,0,820856235407,"E"
293540923,78,49,0,0,820960456207,"N"
293540923,76,38,0,0,821048388807,"L"
293540923,65,30,0,0,821152254507,"A"
293540923,78,49,0,0,821256477607,"N"
293540923,68,32,0,0,821352529307,"D"
293540923,70,33,0,0,821456181007,"F"
293540923,72,35,0,0,821552466507,"H"
293540923,66,48,0,0,821658248807,"B"
293540923,85,22,0,0,821752506707,"U"
293540923,82,19,0,0,821848961807,"R"
293540923,71,34,0,0,821952254507,"G"
293540923,69,18,0,0,822057642107,"E"
293540923,78,49,0,0,822155407807,"N"
293540923,76,38,0,0,822248242007,"L"
293540923,65,30,0,0,822351739107,"A"
293540923,78,49,0,0,822449080007,"N"
293540923,68,32,0,0,822552047307,"D"
293540923,70,33,0,0,822648324407,"F"
293540923,72,35,0,0,822752064307,"H"
293540923,66,48,0,0,822848527307,"B"
293540923,85,22,0,0,822952409907,"U"
293540923,82,19,0,0,823048029007,"R"
293540923,71,34,0,0,823152450107,"G"
293540923,69,18,0,0,823251173007,"E"
293540923,78,49,0,0,823357866407,"N"
293540923,76,38,0,0,823448528907,"L"
293540923,65,30,0,0,823552428907,"A"
293540923,78,49,0,0,823648235907,"N"
293540923,68,32,0,0,823752600707,"D"
293540923,70,33,0,0,823848793207,"F"
293540923,72,35,0,0,823952931907,"H"
293540923,66,48,0,0,824056735307,"B"
293540923,85,22,0,0,824152714107,"U"
293540923,82,19,0,0,824256292507,"R"
293540923,71,34,0,0,824352983607,"G"
293540923,69,18,0,0,824457388207,"E"
293540923,78,49,0,0,824557833607,"N"
293540923,76,38,0,0,824656878507,"L"
293540923,65,30,0,0,824753084407,"A"
293540923,78,49,0,0,824856518207,"N"
293540923,68,32,0,0,824952986007,"D"
293540923,70,33,0,0,825058177307,"F"
293540923,72,35,0,0,825152043507,"H"
293540923,66,48,0,0,825256870207,"B"
293540923,85,22,0,0,825351988307,"U"
293540923,82,19,0,0,825457008707,"R"
293540923,71,34,0,0,825552785507,"G"
293540923,69,18,0,0,825656185407,"E"
293540923,78,49,0,0,825753552807,"N"
293540923,76,38,0,0,825848268507,"L"
293540923,65,30,0,0,825952779207,"A"
293540923,78,49,0,0,826048807107,"N"
293540923,68,32,0,0,826153141007,"D"
293540923,70,33,0,0,826248504007,"F"
293540923,72,35,0,0,826353493807,"H"
293540923,66,48,0,0,826448009007,"B"
293540923,85,22,0,0,826553062207,"U"
293540923,82,19,0,0,826648858707,"R"
293540923,71,34,0,0,826752806307,"G"
293540923,69,18,0,0,826863910807,"E"
293540923,78,49,0,0,826954045507,"N"
