device,vkey,scancode,e0,e1,edge,t1_ns,keyname
293540923,70,33,0,0,DOWN,802652810274,"F"
293540923,72,35,0,0,DOWN,802748148474,"H"
293540923,70,33,0,0,UP,802756832074,"F"
293540923,66,48,0,0,DOWN,802853757574,"B"
293540923,72,35,0,0,UP,802869493274,"H"
293540923,85,22,0,0,DOWN,802948302774,"U"
293540923,66,48,0,0,UP,802973171274,"B"
293540923,82,19,0,0,DOWN,803052256374,"R"
293540923,85,22,0,0,UP,803060140174,"U"
293540923,71,34,0,0,DOWN,803149951874,"G"
293540923,82,19,0,0,UP,803165142474,"R"
293540923,71,34,0,0,UP,803253228774,"G"
293540923,69,18,0,0,DOWN,803257254574,"E"
293540923,69,18,0,0,UP,803340761174,"E"
293540923,78,49,0,0,DOWN,803349474774,"N"
293540923,78,49,0,0,UP,803421444074,"N"
293540923,76,38,0,0,DOWN,803444676574,"L"
293540923,76,38,0,0,UP,803501423874,"L"
293540923,65,30,0,0,DOWN,803549509574,"A"
293540923,65,30,0,0,UP,803596008674,"A"
293540923,78,49,0,0,DOWN,803644095774,"N"
293540923,78,49,0,0,UP,803708689674,"N"
293540923,68,32,0,0,DOWN,803756320074,"D"
293540923,70,33,0,0,DOWN,803844692774,"F"
293540923,68,32,0,0,UP,803861279474,"D"
293540923,70,33,0,0,UP,803925044974,"F"
293540923,72,35,0,0,DOWN,803949169074,"H"
293540923,66,48,0,0,DOWN,804045073874,"B"
293540923,72,35,0,0,UP,804062567874,"H"
293540923,85,22,0,0,DOWN,804149006774,"U"
293540923,66,48,0,0,UP,804164449174,"B"
293540923,82,19,0,0,DOWN,804252300274,"R"
293540923,85,22,0,0,UP,804262278974,"U"
293540923,71,34,0,0,DOWN,804349083274,"G"
293540923,82,19,0,0,UP,804373029374,"R"
293540923,69,18,0,0,DOWN,804454226974,"E"
293540923,71,34,0,0,UP,804463521174,"G"
293540923,69,18,0,0,UP,804540353474,"E"
293540923,78,49,0,0,DOWN,804549876274,"N"
293540923,78,49,0,0,UP,804613569774,"N"
293540923,76,38,0,0,DOWN,804652414074,"L"
293540923,76,38,0,0,UP,804704733974,"L"
293540923,65,30,0,0,DOWN,804748016174,"A"
293540923,65,30,0,0,UP,804796404374,"A"
293540923,78,49,0,0,DOWN,804853656974,"N"
293540923,78,49,0,0,UP,804916871274,"N"
293540923,68,32,0,0,DOWN,804949292374,"D"
293540923,70,33,0,0,DOWN,805053253574,"F"
293540923,68,32,0,0,UP,805061099174,"D"
293540923,70,33,0,0,UP,805116985774,"F"
293540923,72,35,0,0,DOWN,805148160874,"H"
293540923,66,48,0,0,DOWN,805253052074,"B"
293540923,72,35,0,0,UP,805260733074,"H"
293540923,85,22,0,0,DOWN,805349346374,"U"
293540923,66,48,0,0,UP,805373044174,"B"
293540923,82,19,0,0,DOWN,805453106974,"R"
293540923,85,22,0,0,UP,805461029574,"U"
293540923,71,34,0,0,DOWN,805550723574,"G"
293540923,82,19,0,0,UP,805565349674,"R"
293540923,69,18,0,0,DOWN,805652547474,"E"
293540923,71,34,0,0,UP,805660621574,"G"
293540923,69,18,0,0,UP,805749217674,"E"
293540923,78,49,0,0,DOWN,805758353674,"N"
293540923,78,49,0,0,UP,805812495674,"N"
293540923,76,38,0,0,DOWN,805851992774,"L"
293540923,76,38,0,0,UP,805908782274,"L"
293540923,65,30,0,0,DOWN,805949497674,"A"
293540923,65,30,0,0,UP,805997183374,"A"
293540923,78,49,0,0,DOWN,806056306374,"N"
293540923,78,49,0,0,UP,806117007174,"N"
293540923,68,32,0,0,DOWN,806148085474,"D"
293540923,70,33,0,0,DOWN,806253138674,"F"
293540923,68,32,0,0,UP,806269960774,"D"
293540923,70,33,0,0,UP,806325211574,"F"
293540923,72,35,0,0,DOWN,806349554374,"H"
293540923,72,35,0,0,UP,806452510474,"H"
293540923,66,48,0,0,DOWN,806456952474,"B"
293540923,85,22,0,0,DOWN,806548534674,"U"
293540923,66,48,0,0,UP,806573156974,"B"
293540923,82,19,0,0,DOWN,806645287074,"R"
293540923,85,22,0,0,UP,806660859774,"U"
293540923,71,34,0,0,DOWN,806749011474,"G"
293540923,82,19,0,0,UP,806765404474,"R"
293540923,69,18,0,0,DOWN,806854208174,"E"
293540923,71,34,0,0,UP,806861582974,"G"
293540923,69,18,0,0,UP,806939968574,"E"
293540923,78,49,0,0,DOWN,806956066074,"N"
293540923,78,49,0,0,UP,807011950174,"N"
293540923,76,38,0,0,DOWN,807045400774,"L"
293540923,76,38,0,0,UP,807108064474,"L"
293540923,65,30,0,0,DOWN,807149002774,"A"
293540923,65,30,0,0,UP,807196811174,"A"
293540923,78,49,0,0,DOWN,807245168974,"N"
293540923,78,49,0,0,UP,807316638074,"N"
293540923,68,32,0,0,DOWN,807356740074,"D"
293540923,70,33,0,0,DOWN,807444709474,"F"
293540923,68,32,0,0,UP,807461270974,"D"
293540923,70,33,0,0,UP,807516171074,"F"
293540923,72,35,0,0,DOWN,807548207274,"H"
293540923,66,48,0,0,DOWN,807653370374,"B"
293540923,72,35,0,0,UP,807661838174,"H"
293540923,85,22,0,0,DOWN,807749795374,"U"
293540923,66,48,0,0,UP,807772790674,"B"
293540923,82,19,0,0,DOWN,807853256674,"R"
293540923,85,22,0,0,UP,807860148274,"U"
293540923,71,34,0,0,DOWN,807949065674,"G"
293540923,82,19,0,0,UP,807973034474,"R"
293540923,69,18,0,0,DOWN,808053243774,"E"
293540923,71,34,0,0,UP,808061046774,"G"
293540923,78,49,0,0,DOWN,808149373774,"N"
293540923,69,18,0,0,UP,808159246574,"E"
293540923,78,49,0,0,UP,808213007274,"N"
293540923,76,38,0,0,DOWN,808252358774,"L"
293540923,76,38,0,0,UP,808309084974,"L"
293540923,65,30,0,0,DOWN,808349675774,"A"
293540923,65,30,0,0,UP,808396617774,"A"
293540923,78,49,0,0,DOWN,808452680274,"N"
293540923,78,49,0,0,UP,808516633074,"N"
293540923,68,32,0,0,DOWN,808548595174,"D"
293540923,70,33,0,0,DOWN,808652510774,"F"
293540923,68,32,0,0,UP,808660121374,"D"
293540923,70,33,0,0,UP,808727576374,"F"
293540923,72,35,0,0,DOWN,808747839174,"H"
293540923,66,48,0,0,DOWN,808853408774,"B"
293540923,72,35,0,0,UP,808860707574,"H"
293540923,85,22,0,0,DOWN,808948862474,"U"
293540923,66,48,0,0,UP,808972538274,"B"
293540923,82,19,0,0,DOWN,809052322574,"R"
293540923,85,22,0,0,UP,809059967374,"U"
293540923,71,34,0,0,DOWN,809148758474,"G"
293540923,82,19,0,0,UP,809164420874,"R"
293540923,69,18,0,0,DOWN,809252514574,"E"
293540923,71,34,0,0,UP,809260399074,"G"
293540923,69,18,0,0,UP,809349116074,"E"
293540923,78,49,0,0,DOWN,809351222974,"N"
293540923,78,49,0,0,UP,809412549274,"N"
293540923,76,38,0,0,DOWN,809444870174,"L"
293540923,76,38,0,0,UP,809508210874,"L"
293540923,65,30,0,0,DOWN,809548292374,"A"
293540923,65,30,0,0,UP,809596846474,"A"
293540923,78,49,0,0,DOWN,809652727874,"N"
293540923,78,49,0,0,UP,809708629474,"N"
293540923,68,32,0,0,DOWN,809748843774,"D"
293540923,70,33,0,0,DOWN,809844086574,"F"
293540923,68,32,0,0,UP,809860236774,"D"
293540923,70,33,0,0,UP,809924792374,"F"
293540923,72,35,0,0,DOWN,809949068674,"H"
293540923,66,48,0,0,DOWN,810044959074,"B"
293540923,72,35,0,0,UP,810060962474,"H"
293540923,85,22,0,0,DOWN,810149292974,"U"
293540923,66,48,0,0,UP,810165339374,"B"
293540923,82,19,0,0,DOWN,810245097974,"R"
293540923,85,22,0,0,UP,810260300474,"U"
293540923,71,34,0,0,DOWN,810348190074,"G"
293540923,82,19,0,0,UP,810364712074,"R"
